conv + conv + conv + fc + fc
resnet + resnet + resnet + fc + fc
inception + inception + inception + fc +fc

batchnormalization
maxpool

resnet
    i -> conv(relu) + conv(relu) -> i+o 


conv(8) + conv(16) + conv(32) + fc + fc
    Epoch 4, Perdida: 0.9932680130004883, Exactitud: 57.890625, Perdida de prueba: 1.0792911052703857, Exactitud de prueba: 56.25
    Epoch 5, Perdida: 0.9164409637451172, Exactitud: 63.046871185302734, Perdida de prueba: 0.9609450101852417, Exactitud de prueba: 62.5
    Epoch 6, Perdida: 0.8669415712356567, Exactitud: 63.906253814697266, Perdida de prueba: 0.6114485859870911, Exactitud de prueba: 81.25
    Epoch 7, Perdida: 0.7875761985778809, Exactitud: 69.296875, Perdida de prueba: 0.8082619905471802, Exactitud de prueba: 62.5
    Epoch 8, Perdida: 0.7309008836746216, Exactitud: 72.65625, Perdida de prueba: 0.8416212797164917, Exactitud de prueba: 43.75
    Epoch 9, Perdida: 0.6917307376861572, Exactitud: 75.3125, Perdida de prueba: 0.5956000089645386, Exactitud de prueba: 81.25
    Epoch 10, Perdida: 0.6194894313812256, Exactitud: 78.59375, Perdida de prueba: 0.573456883430481, Exactitud de prueba: 75.0
    Epoch 11, Perdida: 0.5679606199264526, Exactitud: 82.1875, Perdida de prueba: 0.42729419469833374, Exactitud de prueba: 87.5
    Epoch 12, Perdida: 0.5249371528625488, Exactitud: 81.640625, Perdida de prueba: 0.5036163330078125, Exactitud de prueba: 87.5
    Epoch 13, Perdida: 0.4688855707645416, Exactitud: 85.234375, Perdida de prueba: 0.4703689515590668, Exactitud de prueba: 81.25
    Epoch 14, Perdida: 0.42758631706237793, Exactitud: 87.109375, Perdida de prueba: 0.48068270087242126, Exactitud de prueba: 81.25
    Epoch 15, Perdida: 0.38885873556137085, Exactitud: 89.0625, Perdida de prueba: 0.3050556778907776, Exactitud de prueba: 93.75
    Epoch 16, Perdida: 0.35847121477127075, Exactitud: 90.15625, Perdida de prueba: 0.48456087708473206, Exactitud de prueba: 81.25
    Epoch 17, Perdida: 0.29689791798591614, Exactitud: 93.671875, Perdida de prueba: 0.17062067985534668, Exactitud de prueba: 100.0
    Epoch 18, Perdida: 0.27592650055885315, Exactitud: 93.90625, Perdida de prueba: 0.21188636124134064, Exactitud de prueba: 93.75
    Epoch 19, Perdida: 0.24856197834014893, Exactitud: 94.921875, Perdida de prueba: 0.18144363164901733, Exactitud de prueba: 100.0
    Epoch 20, Perdida: 0.21174290776252747, Exactitud: 96.484375, Perdida de prueba: 0.10879552364349365, Exactitud de prueba: 100.0


conv(8) + MaxPool2D + conv(16) + MaxPool2D + conv(32) + MaxPool2D + fc + fc
    Epoch 1, Perdida: 1.3390244245529175, Exactitud: 32.03125, Perdida de prueba: 1.3783568143844604, Exactitud de prueba: 25.0
    Epoch 2, Perdida: 1.1464817523956299, Exactitud: 48.203125, Perdida de prueba: 0.9589558839797974, Exactitud de prueba: 68.75
